,slice_name,Time,duration
1,Alarm 1_START,2021-05-06 01:12:12+00:00,0 days 00:06:04
2,Alarm 2_START,2021-05-06 01:12:12+00:00,0 days 00:06:04
3,Alarm 3_START,2021-05-06 01:12:16+00:00,0 days 00:05:56
4,Alarm 4_START,2021-05-06 01:13:18+00:00,0 days 00:08:05
5,Alarm 5_START,2021-05-06 01:15:28+00:00,0 days 00:30:44
6,Alarm 3_END,2021-05-06 01:18:12+00:00,0 days 00:05:56
7,Alarm 1_END,2021-05-06 01:18:16+00:00,0 days 00:06:04
8,Alarm 2_END,2021-05-06 01:18:16+00:00,0 days 00:06:04
9,Alarm 4_END,2021-05-06 01:21:23+00:00,0 days 00:08:05
10,Alarm 6_START,2021-05-06 01:27:25+00:00,0 days 00:15:40
11,Alarm 7_START,2021-05-06 01:41:38+00:00,0 days 00:05:57
12,Alarm 6_END,2021-05-06 01:43:05+00:00,0 days 00:15:40
13,Alarm 5_END,2021-05-06 01:46:12+00:00,0 days 00:30:44
14,Alarm 7_END,2021-05-06 01:47:35+00:00,0 days 00:05:57
15,Alarm 8_START,2021-05-06 01:48:51+00:00,0 days 03:11:07
16,Alarm 9_START,2021-05-06 01:58:25+00:00,0 days 03:01:29
17,Alarm 10_START,2021-05-06 02:22:27+00:00,0 days 00:04:29
18,Alarm 11_START,2021-05-06 02:22:48+00:00,0 days 00:00:46
19,Alarm 11_END,2021-05-06 02:23:34+00:00,0 days 00:00:46
20,Alarm 10_END,2021-05-06 02:26:56+00:00,0 days 00:04:29
21,Alarm 12_START,2021-05-06 02:47:22+00:00,0 days 00:04:25
22,Alarm 13_START,2021-05-06 02:47:22+00:00,0 days 00:04:25
23,Alarm 14_START,2021-05-06 02:49:33+00:00,0 days 00:05:58
24,Alarm 12_END,2021-05-06 02:51:47+00:00,0 days 00:04:25
25,Alarm 13_END,2021-05-06 02:51:47+00:00,0 days 00:04:25
26,Alarm 14_END,2021-05-06 02:55:31+00:00,0 days 00:05:58
27,Alarm 15_START,2021-05-06 04:38:07+00:00,0 days 00:00:18
28,Alarm 15_END,2021-05-06 04:38:25+00:00,0 days 00:00:18
29,Alarm 9_END,2021-05-06 04:59:54+00:00,0 days 03:01:29
30,Alarm 8_END,2021-05-06 04:59:58+00:00,0 days 03:11:07
